,Title
6649,"Comment on ``Most computational hydrology is not reproducible, so is it
"
25319,FOREST HYDROLOGIC RESEARCH IN CHINA
54291,Observability Analysis in Water Transport Networks: Algebraic Approach
45008,"Comment on the application of the Szilagyi-Jozsa advection-aridity model
"
6650,"Comment on ``Most computational hydrology is not reproducible, so is it
"
46472,"Contribution of geophysical methods to karst-system exploration: an
"
20984,Change detection in hydrological records - a review of the methodology
44963,On the return period and design in a multivariate framework
28994,"Reply to discussions on ``Applying fuzzy theory and genetic algorithm to
"
70283,"Comment on ``exposure to microplastics (< 10 mu m) associated to plastic
"
5337,"Comment on ``Most computational hydrology is not reproducible, so is it
"
41975,"Case-based knowledge formalization and reasoning method for digital
"
22350,A philosophical basis for hydrological uncertainty
50426,"A fast recursive GIS algorithm for computing Strahler stream order in
"
22513,"Discussion of ``How to improve attribution of changes in drought and
"
6663,"Reply to comment by Melsen et al. on ``Most computational hydrology is
"
36176,Chaos theory in hydrology: important issues and interpretations
71358,"Implementing the European ``Floods Directive{''}: the Case of the Po
"
30671,"Modelling of rainfall, flow and mass transport in hydrological systems:
"
71142,"The Electronic Encapsulation of Knowledge for Groundwater Quality
"
26954,"Comments on ``Comparison of Mann-Kendall and innovative trend method for
"
22714,"Discussion of ``Perceptual models of uncertainty for socio-hydrological
"
20369,"A NEW MOVING BOAT METHOD FOR THE MEASUREMENT OF DISCHARGE IN LARGE
"
6414,"Evaluating uncertainty in integrated environmental models: A review of
"
7456,"Dependency and Redundancy: How Information Theory Untangles Three
"
33318,"Genetic programming in water resources engineering: A state-of-the-art
"
3926,"Matching objective and subjective information in groundwater inverse
"
27172,Waters and forests: from historical controversy to scientific debate
22786,"Why and when it is useful to publish and share inconclusive results and
"
43926,"Seven rules for researchers to increase their impact on the policy
"
28343,"Reply to comments provided by Z. Sen on ``Takagi-Sugeno fuzzy inference
"
31720,"A review of the artificial intelligence methods in groundwater level
"
45463,"HESS Opinions ``Integration of groundwater and surface water research:
"
42048,"HESS Opinions: Advocating process modeling and de-emphasizing parameter
"
6249,"Introduction to special section on Uncertainty Assessment in Surface and
"
47561,"Extraction of water and solutes from argillaceous rocks for geochemical
"
18136,The use of entropy in hydrology and water resources
13945,"Reply to `Comment on: Rainfall, fog and throughfall dynamics in a
"
63624,"Parameter and state estimation of the activated sludge process .1. Model
"
29967,"Response to Comment on ``Reverse level pool routing: Comparison between
"
18852,"A modular approach to addressing model design, scale, and parameter
"
