,Title
45562,Validation of the operational MSG-SEVIRI snow cover product over Austria
15077,Accuracy assessment of the MODIS snow products
10591,"Long-term remote sensing database, Walnut Gulch Experimental Watershed,
"
23997,"NASA Cold Land Processes Experiment (CLPX 2002/03): Airborne Remote
"
18644,Evaluation of the snow-covered area data product from MODIS
8217,"Embedded-sensor network design for snow cover measurements around snow
"
14259,"Comparison of Snow Data Assimilation System with GPS reflectometry snow
"
17680,"Satellite-derived digital elevation model accuracy:
"
27890,"Toward advanced daily cloud-free snow cover and snow water equivalent
"
4287,"Cloud Masking for Landsat 8 and MODIS Terra Over Snow-Covered Terrain:
"
24472,"Evaluating Seasonal Orographic Precipitation in the Interior Western
"
15696,"Snow measurement by GPS interferometric reflectometry: an evaluation at
"
5118,"Insights into mountain precipitation and snowpack from a basin-scale
"
16578,"Comparison and validation of MODIS standard and new combination of Terra
"
18342,"Estimation of snow depth over open prairie environments using GOES
"
23606,"Assessing Satellite-Based Rainfall Estimates in Semiarid Watersheds
"
18666,"An assessment of the differences between three satellite snow cover
"
18343,"Validation of VEGETATION, MODIS, and GOES plus SSM/I snow-cover products
"
24329,"Evaluation of Remotely Sensed Snow Water Equivalent and Snow Cover
"
3333,"Comparative rainfall observations from pit and aboveground rain gauges
"
20213,Spaceborne remote sensing for snow hydrology applications
8575,"Snow water equivalent in the Sierra Nevada: Blending snow sensor
"
24340,"Validation of the GPM Version-5 Surface Rainfall Products over Great
"
43691,"Topographic control of snow distribution in an alpine watershed of
"
24813,"Quantitative Precipitation Estimation from a C-Band Dual-Polarized Radar
"
16032,"A comparison of simulated and measured lake ice thickness using a
"
13569,"Combining MODIS and AMSR-E observations to improve MCD43A3 short-time
"
5419,"Fractional snow cover in the Colorado and Rio Grande basins, 1995-2002"
21760,"Evaluating the utility of the EUMETSAT HSAF snow recognition product
"
13306,"An intercomparison of remotely sensed soil moisture products at various
"
4154,"Quantifying Uncertainties in Snow Depth Mapping From Structure From
"
4342,"Improving Snow Water Equivalent Maps With Machine Learning of Snow
"
23433,"Quantitative Assessment of Operational Weather Radar Rainfall Estimates
"
18310,"Estimating the distribution of snow water equivalent and snow extent
"
24061,"An assessment of the biases of satellite rainfall estimates over the
"
