,Title
38521,"Application of high-resolution, remotely sensed data for transient
"
1447,"Optimal order convergence of a modified BDM1 mixed finite element scheme
"
343,"Pore network modelling of two-phase flow in porous rock: the effect of
"
38257,"Uncertainty in thermal time series analysis estimates of streambed water
"
53388,"Nitrogen, carbon, and sulfur isotopic change during heterotrophic
"
52670,Estimating interfacial areas for multi-fluid soil systems
40881,"Natural gas price uncertainty and the cost-effectiveness of hedging
"
10559,"Evaluating the dual-boundary forcing concept in subsurface-land surface
"
52816,"FRACTIONAL WETTABILITY EFFECTS ON 2-FLUID AND 3-FLUID CAPILLARY
"
40230,ANALYSIS OF SHORT-RUN DOMESTIC WATER-SUPPLY TRANSFERS UNDER UNCERTAINTY
37057,"Cost-effective alternatives for mitigating Cryptosporidium risk in
"
9038,"Linking metrics of hydrological function and transit times to landscape
"
51959,"A sequential zero valent iron and aerobic biodegradation treatment
"
51880,Migration of saline solutions in variably saturated porous media
25684,"Integrating non-colocated well and geophysical data to capture
"
51850,Secondary imbibition in NAPL-invaded mixed-wet sediments
4818,"Simulation of flood reduction by natural river rehabilitation using a
"
12591,"Erosion and sedimentation on the Russian Plain, II: the history of
"
9247,"Spatial distribution of pipe collapses in Goodwin Creek Watershed,
"
41093,"Effects of an emergent vegetation patch on channel reach bathymetry and
"
52291,"Numerical modeling of coupled variably saturated fluid flow and reactive
"
32283,"Comparison of Methods to Estimate Snow Water Equivalent at the Mountain
"
12462,Using stable isotopes of water in evapotranspiration studies
7269,"Aggregation in environmental systems - Part 1: Seasonal tracer cycles
"
921,"Time and space nonlocalities underlying fractional-derivative models:
"
12550,"Using synthetic flow duration curves for rainfall-runoff model
"
40516,"Comparing drinking water treatment costs to source water protection
"
38847,"Comment on ``Hyperresolution global land surface modeling: Meeting a
"
8032,"Consistency between hydrological models and field observations: linking
"
38762,"Relative permeability and trapping of CO2 and water in sandstone rocks
"
12438,"Are temporal variations in the nitrate content of UK upland freshwaters
"
40822,"Modeling chloride transport using travel time distributions at
"
11424,A study of the groundwater cycle in Sri Lanka using stable isotopes
12491,"Solute transport by surface runoff from low-angle slopes: theory and
"
51427,"Simulating the injection of micellar solutions to recover diesel in a
"
40460,"MONITORING AN UNDERGROUND STEAM INJECTION PROCESS USING
"
41187,"Measuring spatiotemporal variation in snow optical grain size under a
"
41471,"Multiobjective adaptive surrogate modeling-based optimization for
"
11455,"Acid-available particulate trace metals associated with suspended
"
51874,"A constitutive model for air-NAPL-water flow in the vadose zone
"
52899,"REMOVAL OF AGRICULTURAL NITRATE FROM TILE-DRAINAGE EFFLUENT WATER USING
"
40849,Declining rainfall and regional variability changes in Jordan
39588,"Use of an entropy-based metric in multiobjective calibration to improve
"
38308,"On the local concentration probability density function of solutes
"
39651,"Inference of reactive transport model parameters using a Bayesian
"
12075,"Changes in run-off and sediment load in the three parts of the Yellow
"
38711,Relative efficiency of land surface energy balance components
