,Title
71317,"Evaluating the Performance of Merged Multi-Satellite Precipitation
"
47390,"The role of economic analysis in groundwater management in semi-arid
"
71559,"Rainwater Harvesting System for Contiunous Water Supply to the Regions
"
74106,"A Modified LAPSUS Model to Enhance the Effective Rainfall Estimation by
"
71276,"Assessment of the Sustainability of Water Resources Management: A
"
71068,"Domestic Water Charges in Ireland - Issues and Challenges Conveyed
"
74107,"A Selective Literature Review on Leak Management Techniques for Water
"
48525,"EVALUATION OF THE TEMPORAL TRANSFERABILITY OF A MODEL DESCRIBING
"
50036,"Externalities, water prices, and water transfers"
5602,Sediment management modelling in the Blue Nile Basin using SWAT model
537,"Diffusive wave solutions for open channel flows with uniform and
"
71237,"Lake Level Forecasting Using Wavelet-SVR, Wavelet-ANFIS and Wavelet-ARMA
"
38734,"Comment on ``Assessing interannual variability of evapotranspiration at
"
73812,A Fair Approach for Multi-Objective Water Resources Allocation
36808,"SPATIAL AVERAGING OF TRANSMISSIVITY IN HETEROGENEOUS FIELDS WITH FLOW
"
74194,"Manage Sewer In-Line Storage Control Using Hydraulic Model and Recurrent
"
74029,"Integrated Assessment of Water Reservoir Systems Performance with the
"
61600,"Bottled mineral water as a potential source of antibiotic resistant
"
70941,Methods of Assessment of Water Losses in Water Supply Systems: a Review
72217,"A Site-Specific Index to Control the Total Effect of Point Sources
"
70876,"Harmonisation of Reliability Performance Indices for Planning and
"
7528,Mapping mean monthly runoff pattern using EOF analysis
9788,"Combining the SWAT model with sequential uncertainty fitting algorithm
"
12745,"Analytical solutions of one-dimensional infiltration before and after
"
1454,"The impact of local diffusion upon mass arrival of a passive solute in
"
5613,"Robust assessment of future changes in extreme precipitation over the
"
2173,"Root-zone plant available water estimation using the SMOS-derived soil
"
72065,"Development and Analytical Verification of an Integrated 2-D Surface
"
22430,"Modeling runoff and soil erosion in the Three-Gorge Reservoir drainage
"
72587,Hybrid RES-HEP Systems Development
31624,"A Spatial-Dynamical Framework for Evaluation of Satellite Rainfall
"
3045,"Numerical efficiency assessment of the lattice Boltzmann model for
"
71396,"OPTIWAM: An Intelligent Tool for Optimizing Irrigation Water Management
"
3905,"Climate change effects on the hydrology of the headwaters of the Tagus
"
73746,"Risk Probability Assessment of Sudden Water Pollution in the Plain River
"
10157,"CO2 absorption of sandy soil induced by rainfall pulses in a desert
"
73065,"Evaluating Economic Value of Coastal Waterfront in Tokyo Bay, Japan with
"
53788,"Explicit Water Quality Model Generation and Rapid Multiscenario
"
69111,"Effects of NOM source variations and calcium complexation capacity on
"
47764,"Estimation of the hydraulic parameters of leaky aquifers based on
"
6581,"Combining high-resolution satellite images and altimetry to estimate the
"
1762,"Multicomponent diffusion-A brief review (vol 62PB, pg 238, 2013)"
73271,"Modeling of surface runoff in Xitiaoxi catchment, China"
74088,Multi Objective Optimization with a New Evolutionary Algorithm
73500,Transboundary groundwater resources of the West Bank
73496,"Development of regional flood frequency relationships using L-moments
"
38650,"Effect of storm movement on flood peaks: Analysis framework based on
"
4273,"Improving lake mixing process simulations in the Community Land Model by
"
45576,"PREDICTION OF TRACER PLUME MIGRATION IN DISORDERED POROUS-MEDIA BY THE
"
72936,Cost and Flooding Probability Minimization Based Design of HBPS Channel
73368,"Application of stepwise discriminant analysis for the identification of
"
445,"An evaluation of temporally adaptive transformation approaches for
"
49914,"Water conservation in Casablanca, Morocco"
73324,"Cascade correlation artificial neural networks for estimating missing
"
10306,"Modelling evaporation processes in soils from the Huasco salt flat
"
73515,Uncovering spatio-temporal patterns in environmental data
8153,"Lichens and mosses moisture content assessment through high-spectral
"
72733,"Water Resources Sustainability and Optimal Cropping Pattern in Farming
"
73941,"Identification of the Non-stationarity of Floods: Changing Patterns,
"
