,Title
36542,"Evaluating the non-stationary relationship between precipitation and
"
32486,"Analysis of precipitation and drought data in Serbia over the period
"
23575,Trend Analysis of Precipitation in the Jinsha River Basin in China
73591,"Streamflow Trends and Climate Variability Impacts in Poyang Lake Basin,
"
73027,"Spatial and Temporal Variability of Precipitation and Dryness/Wetness
"
31968,"Variability, teleconnection, and predictability of Korean precipitation
"
23834,"Long-Term Temporal Variation of Extreme Rainfall Events in Australia:
"
35321,Anthropogenic warming has caused hot droughts more frequently in China
71610,"Trends in Monthly Natural Streamflow in Romania and Linkages to
"
27612,"Has streamflow changed in the Nordic countries? - Recent trends and
"
13638,"Hydrological drought in the west of Iran and possible association with
"
21461,"Inconsistent linear trends in Senegalese rainfall indices from 1950 to
"
21804,"Hydro-meteorological trends in semi-arid north-central Chile (29-32
"
22010,Analysis of long-term rainfall trends in India
20889,Variability in the discharge of South American rivers and in climate
37813,"Effects of persistence and large-scale climate anomalies on trends and
"
4596,"Magnitude and timing of annual maximum floods: Trends and large-scale
"
37200,Precipitation anomalies in Eastern-Central Iowa from 1640 - Present
24815,"The Seasonal Nature of Extreme Hydrological Events in the Northeastern
"
24276,"Changes in Extreme Precipitation in the Northeast United States:
"
23325,Trends and Variability in Severe Snowstorms East of the Rocky Mountains
16856,"Hydro-climatic variability and trends in Washington State for the last
"
41238,"Investigating the relationship between the frequency of flooding over
"
22697,"Comparison of ten notable meteorological drought indices on tracking the
"
22556,"Analysis of recent changes in rainfall and drought indices in Nigeria,
"
23747,"Response of Streamflow to Climate Changes in the Yellow River Basin,
"
15636,"Flood changes during the past 50 years in Wujiang River, South China"
30176,"Attribution for decreasing streamflow of the Haihe River basin, northern
"
15999,"The impacts of climate change on local hydrology and low flow frequency
"
24293,"Influence of Internal Variability and Global Warming on Multidecadal
"
23684,"Interannual Variability of Rhine River Streamflow and Its Relationship
"
20605,"Global projections of changing risks of floods and droughts in a
"
8463,"Precipitation predictability associated with tropical moisture exports
"
458,"Climate precursors of multidecadal drought variability in the western
"
23786,"Extreme Precipitation over the West Coast of North America: Is There a
"
3453,"Interannual variability of accumulated snow in the Columbia basin,
"
14341,"Flood frequency under the influence of trends in the Pearl River basin,
"
23161,"ENSO and PDO effects on hydroclimatic variations of the Upper Colorado
"
22839,Epochal changes in ENSO-streamflow relationships in Sri Lanka
22734,"Analysis of meteorological drought variability in Niger and its
"
45721,"Climate changes and variability in the Great Artesian Basin (Australia),
"
26301,"Spatial and temporal variability of precipitation maxima during
"
13536,"Recent climatic trends and linkages to river discharge in Central
"
74154,Impact of climate change on water resources in the Tarim River basin
22262,"Effect of ENSO on annual maximum floods and volume over threshold in the
"
21938,"Decadal frequency and trends of extreme excess/deficit rainfall during
"
21769,"Spatio-temporal variability of streamflow in the Yellow River: possible
"
26324,"Analysis of impacts of climate variability and human activity on
"
23838,"Intensification of Summer Rainfall Variability in the Southeastern
"
24038,"Regional Analysis of Trend and Step Changes Observed in Hydroclimatic
"
73320,"Relation Between the North-Atlantic Oscillation and Hydroclimatic
"
6692,"A long-term perspective of the hydroclimatological impacts of
"
6907,"The role of tropical modes of variability in recent rainfall deficits
"
9749,THE RELATIONSHIPS BETWEEN UNITED-STATES STREAMFLOW AND LA-NINA EVENTS
35211,"Changes in magnitude and frequency of heavy precipitation across China
"
