,Title
74125,"Planning for Regional Water System Sustainability Through Water
"
74189,A Rural Water Poverty Analysis in China Using the DPSIR-PLS Model
21347,OPTIMUM CONDITIONS FOR EVAPORATION CONTROL BY MONOLAYERS
11777,"Effect of model structure on the accuracy and uncertainty of results
"
20171,"Multifractal analysis of African monsoon rain fields, taking into
"
20713,"Spatiotemporal dynamics of landscape pattern and hydrologic process in
"
57963,"Effect of soluble microbial products on microbial metabolisms related to
"
6190,Disinformative data in large-scale hydrological modelling
16346,Introduction to Physical Hydrology
49102,"Modeling pre- and post-dam removal sediment dynamics: The Kalamazoo
"
48852,"Contribution of In-Channel Processes to Sediment Yield of an Urbanizing
"
66785,"Acceptance of new sanitation: The role of end-users' pro-environmental
"
20143,"Impacts of improved grazing land management on sediment yields, Part 1:
"
20666,"An RBF network with a two-step learning algorithm for developing a
"
470,"Transport with spatially variable kinetic sorption: recursion
"
44220,"A STOCHASTIC-MODEL RELATING RAINFALL INTENSITY TO RAINDROP PROCESSES -
"
15161,"Practical aspects of calibrating and selecting unit hydrograph-based
"
49031,"A sediment budget for an urbanizing watershed, 1951-1996, Montgomery
"
21000,"THE IMPACT OF A RIPARIAN WETLAND ON STREAMWATER QUALITY IN A RECENTLY
"
61002,"BEHAVIOR OF ALKYLPHENOL POLYETHOXYLATE SURFACTANTS IN THE AQUATIC
"
50163,"Analysis of lake-bottom sediment to estimate historical nonpoint-source
"
21786,Temporal variability in stage-discharge relationships
1866,"Three-dimensional geostatistical inversion of synthetic tomographic
"
13698,"Statistical characterization of arsenic contamination in shallow tube
"
2872,"A generalized framework for process-informed nonstationary extreme value
"
48783,"Effectiveness of BMPS in Reducing Sediment From Unpaved Roads in the
"
74138,"Ensembling Downscaling Techniques and Multiple GCMs to Improve Climate
"
6425,"What causes cooling water temperature gradients in a forested stream
"
16931,"Adaptation of water resources systems to changing society and
"
29039,Preface - Pedotransfer functions in hydrology
3343,"Simulation of unsaturated water flow around obstructions:
"
29325,"Annual replenishable ground water potential of India - an estimate based
"
20289,"Development and application of a decision group Back-Propagation Neural
"
48964,Fine-sediment loadings to Lake Tahoe
17642,"THE VIGIL NETWORK - A MEANS OF OBSERVING LANDSCAPE CHANGE IN DRAINAGE
"
21950,"Experimental study of the impact of rainfall characteristics on runoff
"
17824,"Evaluation of three complementary relationship evapotranspiration models
"
21334,"EFFECTS OF FORESTRY ON SUSPENDED-SOLIDS AND BEDLOAD YIELDS IN THE
"
33294,Comment on RamaRao et al. {[}1995] and LaVenue et al. {[}1995] - Reply
3756,"Dealing with uncertainty in the probability of overtopping of a flood
"
50879,"COST-EFFECTIVE PLACEMENT OF BEST MANAGEMENT PRACTICES IN A WATERSHED:
"
17821,"A weather-type conditioned multi-site stochastic rainfall model for the
"
