,Title
20282,"Seasonal dynamics of surface runoff in mountain grassland ecosystems
"
5749,"Modelling climate change effects on a Dutch coastal groundwater system
"
5798,"Depression storage and infiltration effects on overland flow
"
4917,"The use of the linear reservoir concept to quantify the impact of
"
20428,"Assessment of the effects of discordant sites on regional flood
"
72447,Variations in Discharge Volumes for Hydropower Generation in Switzerland
21212,"A LABORATORY CALIBRATION OF TIME-DOMAIN REFLECTOMETRY FOR SOIL-WATER
"
11071,"The effects of topography and forest management on water storage in
"
9603,Let us have some consideration for the lowly reviewer
11046,"Positive and neutral effects of forest cover on dry-season stream flow
"
29276,Forecasting daily urban water demand: a case study of Melbourne
2200,"The impact of porous media heterogeneity on non-Darcy flow behaviour
"
30842,Impacts of Polarimetric Radar Observations on Hydrologic Simulation
32383,"Improving computation of sensible heat flux over a water surface using
"
73853,"A Comparative Study of MLR, KNN, ANN and ANFIS Models with Wavelet
"
31058,"A new parsimonious methodology of mapping the spatial variability of
"
21800,"From water to bioethanol: The impact of climate variability on the water
"
54896,"Effect of solar radiation on the migration of vinyl chloride monomer
"
186,"Parameter estimation in distributed hydrological catchment modelling
"
20530,"Spreading of tracer plumes through confined telogenetic karst aquifers:
"
5584,"Soil surface moisture estimation over a semi-arid region using ENVISAT
"
73699,"Reduction of the Criteria System for Identifying Effective Reservoirs in
"
72548,"Low Temperature Geothermal Applications as Enablers of Sustainable
"
5829,"Assessing ecological land use and water demand of river systems: a case
"
73546,"Alum and lime-alum removal of toxic and nontoxic phytoplankton from the
"
505,"Three-dimensional non-cohesive earthen dam breach model. Part 2:
"
21248,MODELING ENVIRONMENTAL HETEROGENEITY IN FORESTED LANDSCAPES
20929,Testing the structure of a hydrological model using Genetic Programming
3060,"Computational modeling for large wood dynamics with root wad and
"
34160,A comparison of stochastic models for spatial rainfall downscaling
50219,"Estimating the mean and variance of censored phosphorus concentrations
"
26008,Linking scientific disciplines: Hydrology and social sciences
21170,"HYDROGEOCHEMISTRY OF THE VOLCANIC DISTRICT IN THE TOLFA AND SABATINI
"
31043,"The role of local moisture recycling evaluated using stable isotope data
"
31207,"Estimates of Twenty-First-Century Flood Risk in the Pacific Northwest
"
33819,"Comment on ``Peak flow responses to clear-cutting and roads in small and
"
34671,"Political economy of water pricing policy: Empirical evidence from
"
33104,"Solutions to equations incorporating the effect of rate-limited
"
38829,Uncertainty in dual permeability model parameters for structured soils
15103,"An investigation of the presence of low-dimensional chaotic behaviour in
"
25019,"The Budyko hypothesis before Budyko: The hydrological legacy of Evald
"
21254,MODELING PUMPING TESTS IN WEATHERED GLACIAL TILL
19378,"Plot scale continuous modelling of runoff in a maize cropping system
"
35849,"Regional calibration of catchment models: Potential for ungauged
"
11797,"Spatial and temporal variability of water percolation and movement in a
"
